Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,131072,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,131072,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,131072,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,131072,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,262144,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,262144,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,262144,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,524288,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,524288,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,524288,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,524288,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,1048576,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,1048576,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,1048576,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,1048576,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,131072,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,131072,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,131072,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,131072,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,262144,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,262144,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,262144,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,524288,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,524288,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,524288,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,524288,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,1048576,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,1048576,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,1048576,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,1048576,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,131072,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,131072,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,131072,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,131072,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,262144,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,262144,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,262144,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,524288,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,524288,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,524288,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,524288,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,1048576,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,1048576,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,1048576,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,512,1048576,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,131072,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,131072,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,131072,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,131072,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,262144,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,262144,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,262144,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,524288,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,524288,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,524288,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,524288,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,1048576,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,1048576,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,1048576,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,1048576,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,131072,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,131072,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,131072,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,131072,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,262144,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,262144,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,262144,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,524288,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,524288,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,524288,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,524288,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,1048576,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,1048576,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,1048576,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,1048576,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,131072,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,131072,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,131072,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,131072,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,262144,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,262144,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,262144,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,524288,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,524288,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,524288,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,524288,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,1048576,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,1048576,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,1048576,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,1048576,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,131072,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,131072,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,131072,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,131072,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,262144,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,262144,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,262144,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,524288,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,524288,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,524288,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,524288,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,1048576,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,1048576,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,1048576,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,8192,1048576,1,2048,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,128,131072,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,128,131072,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,128,131072,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,128,131072,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,128,262144,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,128,262144,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,128,262144,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,128,262144,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,128,524288,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,128,524288,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,128,524288,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,128,524288,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,128,1048576,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,128,1048576,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,128,1048576,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,128,1048576,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,256,131072,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,256,131072,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,256,131072,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,256,131072,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,256,262144,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,256,262144,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,256,262144,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,256,262144,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,256,524288,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,256,524288,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,256,524288,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,256,524288,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,256,1048576,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,256,1048576,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,256,1048576,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,256,1048576,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,512,131072,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,512,131072,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,512,131072,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,512,131072,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,512,262144,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,512,262144,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,512,262144,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,512,262144,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,512,524288,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,512,524288,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,512,524288,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,512,524288,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,512,1048576,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,512,1048576,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,512,1048576,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,512,1048576,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,1024,131072,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,1024,131072,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,1024,131072,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,1024,131072,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,1024,262144,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,1024,262144,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,1024,262144,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,1024,262144,8,262144,sonnet,1800,128,,5000
